;AA;AXP;BA;BAC;CAT;CSCO;CVX;DD;DIS;GE;HD;HPQ;IBM;INTC;JNJ;JPM;KO;MCD;MMM;MRK;MSFT;PFE;PG;T;TRV;UNH;UTX;VZ;WMT;XOM
31/12/2010;15.39;42.92;65.26;13.34;93.66;20.23;91.25;49.88;37.51;18.29;35.06;42.10;146.76;21.03;61.85;42.42;65.77;76.76;86.30;36.04;27.91;17.51;64.33;29.38;55.71;36.11;78.72;35.78;53.93;73.12
30/12/2010;15.21;42.51;65.01;13.28;93.87;20.23;91.60;49.69;37.48;18.19;34.86;42.26;146.67;21.02;61.94;42.23;65.50;76.76;86.54;36.01;27.85;17.49;64.28;29.33;55.54;35.94;78.85;35.56;54.07;73.36
29/12/2010;15.13;42.86;65.05;13.31;93.78;20.25;91.37;50.02;37.60;18.27;34.89;42.32;146.52;20.94;62.13;42.36;65.45;76.99;86.76;36.21;27.97;17.60;64.40;29.31;55.59;35.91;79.10;35.58;54.08;73.37
28/12/2010;15.25;42.79;64.86;13.34;93.69;20.35;91.19;49.82;37.36;18.32;35.09;42.25;145.71;20.88;62.05;42.61;65.36;76.43;86.74;36.20;28.01;17.59;64.76;29.23;55.66;35.72;79.29;35.62;53.74;73.42
27/12/2010;15.23;43.05;64.75;13.27;94.07;20.16;90.12;49.63;37.48;18.19;35.24;41.82;145.34;20.84;61.93;42.67;65.07;76.43;87.01;36.23;28.07;17.49;64.67;29.25;55.79;35.54;79.27;35.50;53.57;73.01
23/12/2010;15.34;42.77;65.06;13.06;94.45;19.69;90.68;49.77;37.70;18.04;35.09;41.74;145.89;20.84;62.25;42.08;65.58;76.96;86.47;36.29;28.30;17.61;65.24;29.20;55.48;35.77;79.50;35.44;53.60;73.20
22/12/2010;15.14;42.81;64.61;13.38;94.57;19.56;89.92;49.80;37.95;18.06;35.18;41.48;145.95;20.89;62.02;42.16;65.59;77.01;86.72;36.22;28.19;17.56;64.95;29.13;55.85;35.84;79.52;35.18;53.31;72.80
21/12/2010;14.89;43.23;64.19;12.98;94.63;19.53;89.23;49.97;37.33;17.90;35.08;41.91;145.74;21.10;62.34;41.00;65.49;76.86;86.53;36.18;28.07;17.38;64.87;29.07;55.87;35.33;79.35;34.94;53.65;72.72
20/12/2010;14.77;42.50;63.27;12.62;93.30;19.62;88.80;49.72;37.06;17.70;35.20;41.89;144.51;21.23;62.49;39.95;65.31;76.92;87.34;36.50;27.81;17.17;64.97;29.13;55.45;35.18;78.90;34.74;53.77;72.22
17/12/2010;14.56;44.01;65.03;12.57;92.59;19.55;88.49;49.86;37.05;17.70;35.10;41.96;145.00;21.46;62.54;39.67;65.70;76.81;86.37;36.48;27.90;17.03;64.81;29.21;55.18;35.05;78.80;34.64;54.41;72.17
16/12/2010;14.46;44.57;64.40;12.52;93.20;19.75;89.06;49.45;37.01;17.77;35.12;41.95;144.55;21.30;62.40;40.01;65.34;76.71;86.40;36.84;27.99;17.22;64.50;29.23;55.36;35.61;79.02;34.76;54.63;72.22
15/12/2010;13.96;46.12;64.24;12.29;93.12;19.47;88.01;49.24;36.95;17.49;34.79;41.23;144.72;21.28;62.57;40.21;64.74;76.98;85.81;36.66;27.85;17.08;63.64;29.13;55.15;35.45;78.95;34.63;54.23;71.85
