"Precisión.Global","Error.Global","Precisión.por.categoría","Falsos.positivos","Falsos.negativos","Asertividad.Positiva","Asertvidad.Negativa"
0.98125,0.01875,"0.960000,0.983051",0.04,0.0169491525423729,0.996563573883162,0.827586206896552
0.940625,0.059375,"0.560000,0.972881",0.44,0.0271186440677966,0.963087248322148,0.636363636363636
0.95,0.05,"0.600000,0.979661",0.4,0.0203389830508475,0.966555183946488,0.714285714285714
0.95,0.05,"0.600000,0.979661",0.4,0.0203389830508475,0.966555183946488,0.714285714285714
0.94375,0.05625,"0.600000,0.972881",0.4,0.0271186440677966,0.966329966329966,0.652173913043478
0.940625,0.059375,"0.600000,0.969492",0.4,0.0305084745762712,0.966216216216216,0.625
0.946875,0.053125,"0.560000,0.979661",0.44,0.0203389830508475,0.963333333333333,0.7
0.940625,0.059375,"0.520000,0.976271",0.48,0.023728813559322,0.96,0.65
0.94375,0.05625,"0.720000,0.962712",0.28,0.0372881355932203,0.975945017182131,0.620689655172414
0.921875,0.078125,"0.200000,0.983051",0.8,0.0169491525423729,0.935483870967742,0.5
0.946875,0.053125,"0.400000,0.993220",0.6,0.00677966101694915,0.951298701298701,0.833333333333333
0.8875,0.1125,"0.160000,0.949153",0.84,0.0508474576271186,0.930232558139535,0.210526315789474
0.990625,0.00937500000000002,"0.960000,0.993220",0.04,0.00677966101694915,0.996598639455782,0.923076923076923
0.990625,0.00937500000000002,"0.960000,0.993220",0.04,0.00677966101694915,0.996598639455782,0.923076923076923
0.990625,0.00937500000000002,"0.960000,0.993220",0.04,0.00677966101694915,0.996598639455782,0.923076923076923
0.802884615384615,0.197115384615385,"0.784000,0.831325",0.216,0.168674698795181,0.71875,0.875
0.826923076923077,0.173076923076923,"0.840000,0.807229",0.16,0.192771084337349,0.770114942528736,0.867768595041322
0.817307692307692,0.182692307692308,"0.840000,0.783133",0.16,0.216867469879518,0.764705882352941,0.853658536585366
0.783653846153846,0.216346153846154,"0.808000,0.746988",0.192,0.253012048192771,0.720930232558139,0.827868852459016
