"","Precisión.Global","Error.Global","Precisión.por.categoría","Falsos.positivos","Falsos.negativos","Asertividad.Positiva","Asertvidad.Negativa"
"NBayes",0.752688172043011,0.247311827956989,"0.879518, 0.428571, 0.282209, 0.770833, 0.875740, 0.582090, 0.880503, 0.854305, 0.660714, 0.984127",0,0.0285714285714286,0.857142857142857,0.963696369636964
"LDA",0.905376344086022,0.0946236559139785,"0.879518, 0.428571, 0.282209, 0.770833, 0.875740, 0.582090, 0.880503, 0.854305, 0.660714, 0.984127, NA, NA, NA, NA, NA, NA, NA, NA, NA",0,0.0142857142857143,0.913385826771654,0.972727272727273
"arboles decision",0.98903836571998,0.0109616342800199,"0.997214, 0.968750, 0.990000, 0.984848, 0.994350, 0.981928, 0.988235, 0.979592, 0.993976, 0.996212",0,0,0.981012658227848,0.997214484679666
"rectangular",0.718817204301075,0.281182795698925,"0.880399, 0.516779, 0.708861, 0.559322, 0.739130, 0.594203, 0.670520, 0.743056, 0.558140, 0.935606",0.00332225913621262,0.12751677852349,0.733333333333333,0.815384615384615
"triangular",0.958064516129032,0.0419354838709678,"0.990033, 0.919463, 0.911392, 0.926554, 0.983696, 0.942029, 0.965318, 0.958333, 0.936047, 0.992424",0.00332225913621262,0.0201342281879195,0.931972789115646,0.952076677316294
"epanechnikov",0.960215053763441,0.0397849462365591,"0.993355, 0.912752, 0.917722, 0.932203, 0.989130, 0.927536, 0.976879, 0.965278, 0.936047, 0.992424",0.00332225913621262,0.0134228187919463,0.951048951048951,0.961414790996785
"biweight",0.959677419354839,0.0403225806451613,"0.993355, 0.912752, 0.917722, 0.932203, 0.989130, 0.920290, 0.976879, 0.965278, 0.936047, 0.992424",0.00332225913621262,0.0134228187919463,0.951048951048951,0.961414790996785
"triweight",0.961827956989247,0.0381720430107527,"0.990033, 0.919463, 0.924051, 0.932203, 0.983696, 0.942029, 0.971098, 0.965278, 0.947674, 0.992424",0.00332225913621262,0.0201342281879195,0.938356164383562,0.961290322580645
"cos",0.959677419354839,0.0403225806451613,"0.990033, 0.912752, 0.924051, 0.932203, 0.983696, 0.927536, 0.965318, 0.965278, 0.947674, 0.992424",0.00332225913621262,0.0201342281879195,0.925170068027211,0.961290322580645
"inv",0.960215053763441,0.0397849462365591,"0.993355, 0.912752, 0.917722, 0.932203, 0.989130, 0.927536, 0.976879, 0.965278, 0.936047, 0.992424",0.00332225913621262,0.0134228187919463,0.951048951048951,0.961414790996785
"linear",0.960752688172043,0.039247311827957,"0.990033, 0.926174, 0.911392, 0.932203, 0.983696, 0.934783, 0.976879, 0.958333, 0.947674, 0.992424",0.00332225913621262,0.0134228187919463,0.951724137931034,0.964401294498382
"polynomial",0.945161290322581,0.0548387096774193,"0.966777, 0.852349, 0.917722, 0.909605, 0.978261, 0.942029, 0.971098, 0.944444, 0.924419, 0.988636",0.0132890365448505,0.0134228187919463,0.907142857142857,0.973244147157191
"radial",0.966129032258065,0.0338709677419354,"0.973422, 0.946309, 0.955696, 0.920904, 0.994565, 0.978261, 0.965318, 0.937500, 0.976744, 0.988636",0.00664451827242525,0.00671140939597315,0.965753424657534,0.989864864864865
"sigmoid",0.964516129032258,0.035483870967742,"0.990033, 0.939597, 0.949367, 0.920904, 0.994565, 0.934783, 0.971098, 0.958333, 0.953488, 0.988636",0.00996677740863787,0.0201342281879195,0.945945945945946,0.973856209150327
"Bosques Aleatorios",0.908064516129032,0.0919354838709677,"0.930233, 0.771812, 0.924051, 0.836158, 0.978261, 0.876812, 0.919075, 0.902778, 0.866279, 0.988636",0.0199335548172757,0.0469798657718121,0.845588235294118,0.897435897435897
"XGBoosting",0.966129032258065,0.0338709677419354,"0.987915, 0.926667, 0.968750, 0.968586, 0.987879, 0.924242, 0.961111, 0.960526, 0.941520, 0.991228",0,0.02,0.972027972027972,0.961764705882353
"nnet",0.991935483870968,0.00806451612903225,"0.996979, 0.966667, 0.993750, 0.994764, 0.993939, 0.992424, 0.988889, 0.993421, 0.994152, 0.995614",0,0.00666666666666667,1,0.990990990990991
