MontoCredito;IngresoNeto;CoefCreditoAvaluo;MontoCuota;GradoAcademico;BuenPagador
14327;1;1;MuyBajo;Bachiller;Si
111404;1;1;MuyBajo;Bachiller;Si
21128;1;1;MuyBajo;Bachiller;Si
15426;2;1;MuyBajo;Bachiller;Si
10351;1;1;MuyBajo;Bachiller;Si
27060;1;1;MuyBajo;Bachiller;Si
243369;1;1;MuyBajo;Bachiller;Si
16300;2;1;MuyBajo;Bachiller;Si
18319;2;1;MuyBajo;Bachiller;Si
107037;2;1;MuyBajo;Bachiller;Si
10149;1;1;MuyBajo;Bachiller;Si
13072;2;1;MuyBajo;Bachiller;Si
52959;1;1;MuyBajo;Bachiller;Si
61614;1;1;MuyBajo;Bachiller;Si
42189;1;1;MuyBajo;Bachiller;Si
100613;1;1;MuyBajo;Bachiller;Si
107599;1;1;MuyBajo;Bachiller;Si
17758;1;1;MuyBajo;Bachiller;Si
13306;1;1;MuyBajo;Bachiller;Si
76914;1;1;MuyBajo;Bachiller;Si
143076;1;1;MuyBajo;Bachiller;Si
61312;1;1;MuyBajo;Bachiller;Si
27904;1;1;MuyBajo;Bachiller;Si
45390;1;1;Bajo;Bachiller;Si
37257;1;1;MuyBajo;Bachiller;Si
42770;1;1;MuyBajo;Bachiller;Si
18452;1;1;MuyBajo;Bachiller;Si
10340;1;1;MuyBajo;Bachiller;Si
49233;2;1;MuyBajo;Bachiller;Si
18057;2;1;MuyBajo;Bachiller;Si
141838;2;1;MuyBajo;Bachiller;Si
123022;1;1;MuyBajo;Bachiller;Si
31032;2;1;MuyBajo;Bachiller;Si
80427;1;1;MuyBajo;Bachiller;Si
80694;1;1;Bajo;Bachiller;Si
129101;2;1;MuyBajo;Bachiller;Si
28916;1;12;Bajo;Bachiller;Si
17605;1;12;Bajo;Bachiller;Si
44374;1;12;MuyBajo;Bachiller;Si
22037;2;12;MuyBajo;Bachiller;Si
11579;2;12;MuyBajo;Bachiller;Si
15920;2;12;MuyBajo;Bachiller;Si
46197;1;12;Bajo;Bachiller;Si
39484;1;12;MuyBajo;Bachiller;Si
40231;1;12;MuyBajo;Bachiller;Si
11922;1;12;MuyBajo;Bachiller;Si
17387;2;11;MuyBajo;Licenciatura;Si
44684;2;4;MuyBajo;Licenciatura;Si
17010;1;2;MuyBajo;Licenciatura;Si
13230;1;12;MuyBajo;Licenciatura;Si
18455;1;10;MuyBajo;Licenciatura;Si
71321;1;11;MuyBajo;Licenciatura;Si
42455;2;12;MuyBajo;Licenciatura;Si
18727;1;12;MuyBajo;Licenciatura;Si
13064;1;11;MuyBajo;Licenciatura;Si
16513;2;12;MuyBajo;Licenciatura;Si
10362;2;11;MuyBajo;Licenciatura;Si
14502;1;12;MuyBajo;Bachiller;Si
47181;2;12;MuyBajo;Bachiller;Si
10108;2;12;MuyBajo;Bachiller;Si
23812;2;12;MuyBajo;Bachiller;Si
16049;2;12;MuyBajo;Bachiller;Si
143650;2;12;MuyBajo;Bachiller;Si
95628;2;12;MuyBajo;Bachiller;Si
14439;1;12;MuyBajo;Bachiller;Si
23230;1;12;MuyBajo;Bachiller;Si
14327;1;12;MuyBajo;Bachiller;Si
10065;2;12;MuyBajo;Bachiller;Si
48540;2;12;MuyBajo;Bachiller;Si
14036;2;4;MuyBajo;Licenciatura;Si
13442;2;11;MuyBajo;Licenciatura;Si
40734;2;5;MuyBajo;Licenciatura;Si
15467;1;11;MuyBajo;Licenciatura;Si
17483;1;12;MuyBajo;Bachiller;Si
14814;1;12;MuyBajo;Bachiller;Si
12344;1;12;MuyBajo;Bachiller;Si
19560;1;12;MuyBajo;Bachiller;Si
35278;2;12;MuyBajo;Bachiller;Si
47367;2;12;MuyBajo;Bachiller;Si
26197;2;12;MuyBajo;Bachiller;Si
36906;2;12;MuyBajo;Bachiller;Si
17004;2;12;MuyBajo;Bachiller;Si
14097;1;12;MuyBajo;Bachiller;Si
23856;2;12;MuyBajo;Bachiller;Si
16241;1;12;MuyBajo;Bachiller;Si
13280;1;12;Medio;Bachiller;Si
37666;1;12;Medio;Bachiller;Si
24981;1;12;Medio;Bachiller;Si
27015;2;11;Bajo;Licenciatura;Si
10624;2;11;Bajo;Licenciatura;Si
10096;2;11;Bajo;Licenciatura;Si
18765;1;11;Bajo;Licenciatura;Si
123149;1;11;Bajo;Licenciatura;Si
14565;2;11;Bajo;Licenciatura;Si
17859;1;11;Bajo;Licenciatura;Si
41941;2;11;Bajo;Licenciatura;Si
29396;2;11;Bajo;Licenciatura;Si
13707;2;11;Bajo;Licenciatura;Si
239460;1;11;Bajo;Licenciatura;Si
10783;2;3;Bajo;Licenciatura;Si
41051;2;11;Bajo;Licenciatura;Si
11279;1;11;Bajo;Licenciatura;Si
39468;2;12;MuyBajo;Bachiller;Si
13867;1;12;MuyBajo;Bachiller;Si
14981;1;12;MuyBajo;Bachiller;Si
12024;2;12;MuyBajo;Bachiller;Si
23711;2;12;MuyBajo;Bachiller;Si
18178;1;12;MuyBajo;Bachiller;Si
94062;1;12;MuyBajo;Bachiller;Si
15024;2;12;MuyBajo;Bachiller;Si
19156;2;12;MuyBajo;Bachiller;Si
12638;2;12;MuyBajo;Bachiller;Si
13847;2;12;Bajo;Bachiller;Si
197684;2;12;Bajo;Bachiller;Si
22430;2;12;Bajo;Bachiller;Si
16941;2;12;Bajo;Bachiller;Si
62302;2;12;Bajo;Bachiller;Si
19565;2;12;Bajo;Bachiller;Si
24479;2;12;Bajo;Bachiller;Si
19884;2;11;Bajo;Bachiller;Si
20193;2;12;Bajo;Bachiller;Si
108773;1;11;Bajo;Licenciatura;Si
27119;2;4;Bajo;Licenciatura;Si
14382;2;11;Bajo;Licenciatura;Si
110400;2;1;Bajo;Licenciatura;Si
35681;2;11;Bajo;Licenciatura;Si
173130;1;9;Bajo;Licenciatura;Si
11832;1;11;Bajo;Licenciatura;Si
16379;1;11;Bajo;Licenciatura;Si
10557;1;11;Bajo;Licenciatura;Si
17030;2;1;Bajo;Licenciatura;Si
29693;2;12;Bajo;Licenciatura;Si
16447;2;12;Bajo;Licenciatura;Si
13317;2;11;Bajo;Licenciatura;Si
12049;2;12;Bajo;Bachiller;Si
24759;2;12;Bajo;Bachiller;Si
64164;1;12;Bajo;Bachiller;Si
113801;1;12;Medio;Bachiller;Si
127338;2;12;Bajo;Bachiller;Si
23004;2;12;Bajo;Bachiller;Si
17354;2;12;Bajo;Bachiller;Si
31481;1;12;Bajo;Bachiller;Si
13799;2;12;Bajo;Bachiller;Si
258624;1;12;Bajo;Bachiller;Si
16217;2;12;Bajo;Bachiller;Si
11424;2;12;Bajo;Bachiller;Si
136975;1;12;Bajo;Bachiller;Si
83517;1;12;Bajo;Bachiller;Si
70715;1;12;Bajo;Bachiller;Si
27964;1;12;Bajo;Bachiller;Si
13785;2;12;Bajo;Bachiller;Si
10415;2;12;Bajo;Bachiller;Si
11815;1;12;Bajo;Bachiller;Si
103278;1;12;Bajo;Bachiller;Si
31920;1;12;Bajo;Bachiller;Si
15312;2;12;Bajo;Bachiller;Si
19432;1;12;Bajo;Bachiller;Si
39358;2;12;Bajo;Bachiller;Si
125321;2;12;Bajo;Bachiller;Si
13782;1;12;Bajo;Bachiller;Si
182095;1;9;Bajo;Licenciatura;Si
32191;2;12;Bajo;Licenciatura;Si
12267;2;11;Bajo;Licenciatura;Si
27137;2;11;Bajo;Licenciatura;Si
49805;1;11;Bajo;Licenciatura;Si
276961;1;12;Bajo;Licenciatura;Si
14029;2;11;Bajo;Licenciatura;Si
10725;2;4;Bajo;Licenciatura;Si
123357;1;11;Bajo;Licenciatura;Si
18895;2;1;Bajo;Licenciatura;Si
17647;2;6;Bajo;Licenciatura;Si
44591;2;12;Bajo;Licenciatura;Si
135460;1;12;Bajo;Licenciatura;Si
30357;2;5;Bajo;Licenciatura;Si
31889;1;10;Bajo;Licenciatura;Si
126125;1;12;Bajo;Licenciatura;Si
30953;2;5;Bajo;Licenciatura;Si
10975;2;11;Bajo;Licenciatura;Si
12343;1;11;Bajo;Licenciatura;Si
22764;1;12;Bajo;Licenciatura;Si
12271;1;9;Bajo;Licenciatura;Si
19238;2;6;Bajo;Licenciatura;Si
11733;2;11;Bajo;Licenciatura;Si
138214;1;12;Bajo;Bachiller;Si
19983;1;12;Bajo;Bachiller;Si
15068;2;12;Bajo;Bachiller;Si
17332;2;12;Bajo;Bachiller;Si
18779;2;12;Bajo;Bachiller;Si
12545;2;12;Bajo;Bachiller;Si
17886;2;12;Bajo;Bachiller;Si
218130;1;12;Bajo;Bachiller;Si
14435;2;12;Bajo;Bachiller;Si
93092;1;12;Bajo;Bachiller;Si
13208;2;12;Bajo;Bachiller;Si
41637;1;12;Bajo;Bachiller;Si
14460;2;12;Bajo;Bachiller;Si
15275;1;12;Bajo;Bachiller;Si
138718;1;12;Bajo;Bachiller;Si
14569;2;12;Bajo;Bachiller;Si
17563;2;12;Bajo;Bachiller;Si
18537;2;12;Bajo;Bachiller;Si
131733;1;12;Bajo;Bachiller;Si
33833;1;12;Bajo;Bachiller;Si
18703;1;12;Bajo;Bachiller;Si
15240;2;12;Bajo;Bachiller;Si
111655;2;12;Bajo;Bachiller;Si
86248;2;12;Bajo;Bachiller;Si
10917;2;12;Bajo;Bachiller;Si
94206;2;12;Bajo;Bachiller;Si
121746;2;12;Bajo;Bachiller;Si
120935;1;12;Bajo;Bachiller;Si
109746;2;12;Bajo;Bachiller;Si
39665;2;12;Bajo;Bachiller;Si
42792;1;12;Bajo;Bachiller;Si
27407;1;12;Bajo;Bachiller;Si
15271;2;12;Bajo;Bachiller;Si
20520;1;12;Bajo;Bachiller;Si
38045;2;12;Bajo;Bachiller;Si
13600;1;12;Bajo;Bachiller;Si
13846;1;12;Medio;Bachiller;Si
15328;2;12;Bajo;Bachiller;Si
12654;1;12;Bajo;Bachiller;Si
15001;2;12;Bajo;Bachiller;Si
25001;2;12;Bajo;Bachiller;Si
18288;2;12;Bajo;Bachiller;Si
46567;2;12;Bajo;Bachiller;Si
16148;2;12;Bajo;Bachiller;Si
10945;2;12;Bajo;Bachiller;Si
12749;1;12;Bajo;Bachiller;Si
12329;2;12;Bajo;Bachiller;Si
72586;2;3;MuyBajo;Licenciatura;Si
114047;2;12;MuyBajo;Licenciatura;Si
17998;2;7;MuyBajo;Licenciatura;Si
14654;2;11;MuyBajo;Licenciatura;Si
14074;2;7;MuyBajo;Licenciatura;Si
12297;2;7;MuyBajo;Licenciatura;Si
19996;2;7;MuyBajo;Licenciatura;Si
224909;1;11;MuyBajo;Licenciatura;Si
42580;1;3;MuyBajo;Licenciatura;Si
13518;2;1;MuyBajo;Licenciatura;Si
60835;1;12;Bajo;Bachiller;Si
